temp,humidity,dew,precip,pressure,windgust,windspeed,cloudcover,timestamp
28.5,79.46,24.6,0.0,1009.0,24.5,9.4,15.7,2020-05-15 00:00:00
28.2,80.37,24.5,0.0,1008.0,19.4,4.7,12.6,2020-05-15 01:00:00
26.8,86.72,24.4,0.0,1007.0,12.6,4.3,6.3,2020-05-15 02:00:00
27.1,84.69,24.3,0.0,1007.0,8.6,2.5,4.5,2020-05-15 03:00:00
25.6,89.8,23.8,0.0,1007.0,6.8,3.6,4.0,2020-05-15 04:00:00
25.5,89.25,23.6,0.0,1007.0,6.5,3.2,1.3,2020-05-15 05:00:00
26.9,84.67,24.1,0.0,1007.0,6.8,3.2,0.0,2020-05-15 06:00:00
27.3,83.7,24.3,0.0,1008.0,6.8,2.9,4.3,2020-05-15 07:00:00
30.4,65.46,23.2,0.0,1005.0,13.3,1.8,8.7,2020-05-15 08:00:00
30.4,62.74,22.5,0.0,1008.0,15.1,1.8,1.9,2020-05-15 09:00:00
31.0,60.25,22.4,0.0,1008.0,15.5,3.2,0.0,2020-05-15 10:00:00
33.6,44.07,19.7,0.0,1008.0,16.6,5.0,15.9,2020-05-15 11:00:00
35.8,37.8,19.2,0.0,1007.0,21.6,6.8,28.3,2020-05-15 12:00:00
36.2,38.62,19.9,0.0,1006.0,25.2,8.6,31.3,2020-05-15 13:00:00
37.8,32.43,18.5,0.0,1005.0,27.4,10.1,33.5,2020-05-15 14:00:00
37.7,33.86,19.1,0.0,1004.0,29.2,11.5,18.5,2020-05-15 15:00:00
36.6,42.47,21.8,0.0,1003.0,29.9,12.6,13.2,2020-05-15 16:00:00
39.7,28.73,18.2,0.0,1000.2,29.9,3.6,30.0,2020-05-15 17:00:00
36.2,41.59,21.1,0.0,1003.0,29.5,11.9,34.0,2020-05-15 18:00:00
36.3,39.62,20.4,0.0,1003.0,28.1,10.4,17.1,2020-05-15 19:00:00
34.6,43.79,20.5,0.0,1005.0,23.8,10.4,16.2,2020-05-15 20:00:00
32.0,49.74,20.2,0.0,1006.0,25.2,10.4,15.4,2020-05-15 21:00:00
31.4,51.14,20.1,0.0,1007.0,24.1,9.0,27.9,2020-05-15 22:00:00
30.0,61.14,21.7,0.0,1007.0,19.1,7.2,19.5,2020-05-15 23:00:00
29.6,63.33,21.9,0.0,1007.0,15.5,5.0,8.6,2020-05-16 00:00:00
29.2,66.82,22.4,0.0,1006.0,11.9,4.3,12.1,2020-05-16 01:00:00
27.8,75.62,23.1,0.0,1006.0,10.1,4.0,16.6,2020-05-16 02:00:00
27.5,78.37,23.4,0.0,1006.0,8.6,4.0,34.4,2020-05-16 03:00:00
27.2,75.53,22.5,0.0,1006.0,7.9,3.6,19.6,2020-05-16 04:00:00
27.1,76.9,22.7,0.0,1005.0,7.9,4.3,23.4,2020-05-16 05:00:00
27.9,76.1,23.3,0.0,1006.0,8.6,4.0,26.0,2020-05-16 06:00:00
